Portfolio;Counterparty;Balance_J;Balance_J_1;Variation;Seuil declenchement;Seuil_respecte;Appel_declenche;Sens_appel;Balance_apres_appel;Cash_initial;Cash_disponible;Cash_utilise;Cash_restant;Alerte
900200.0;BNP PARIBAS;-44748309.06889844;0.0;-44748309.06889844;0.0;False;True;Groupama poste;-44748309.06889844;21990517.823446635;21990517.823446635;21990517.823446635;0.0;cash insuffisant (22 757 791.25)
900200.0;CITIBANK EUROPE PUBLIC LIMITED COMPANY;110691.9541025327;0.0;110691.9541025327;0.0;False;True;Contrepartie poste;110691.9541025327;21990517.823446635;21990517.823446635;0.0;0.0;
900200.0;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;-16145545.642625;0.0;-16145545.642625;0.0;False;True;Groupama poste;-16145545.642625;21990517.823446635;21990517.823446635;0.0;0.0;cash insuffisant (16 145 545.64)
900200.0;GOLDMAN SACHS BANK EUROPE SE;-1552465.9161277974;0.0;-1552465.9161277974;0.0;False;True;Groupama poste;-1552465.9161277974;21990517.823446635;21990517.823446635;0.0;0.0;cash insuffisant (1 552 465.92)
900200.0;GOLDMAN SACHS INTERNATIONAL  PARIS BRANCH;-262844.824426329;0.0;-262844.824426329;0.0;False;True;Groupama poste;-262844.824426329;21990517.823446635;21990517.823446635;0.0;0.0;cash insuffisant (262 844.82)
900200.0;JP MORGAN SE;-6725967.70460027;0.0;-6725967.70460027;0.0;False;True;Groupama poste;-6725967.70460027;21990517.823446635;21990517.823446635;0.0;0.0;cash insuffisant (6 725 967.70)
900200.0;MORGAN STANLEY EUROPE SE;362737.5332642612;0.0;362737.5332642612;0.0;False;True;Contrepartie poste;362737.5332642612;21990517.823446635;21990517.823446635;0.0;0.0;
900200.0;SOCIETE GENERALE;-164296.28640223006;0.0;-164296.28640223006;0.0;False;True;Groupama poste;-164296.28640223006;21990517.823446635;21990517.823446635;0.0;0.0;cash insuffisant (164 296.29)
900200.0;;758626386.2456623;0.0;758626386.2456623;0.0;False;True;Contrepartie poste;758626386.2456623;21990517.823446635;21990517.823446635;0.0;0.0;
981017.0;BNP PARIBAS;-2061516.132363671;0.0;-2061516.132363671;0.0;False;True;Groupama poste;-2061516.132363671;2083246.5234466344;2083246.5234466344;2061516.132363671;0.0;
