Identifier;Portfolio;AssetClass;Country;AssetID;Nominal;TVPercent;TV;MacaulayDuration;Duration;SpreadDuration;DollarRateConvexity1pc;RateDelta1bp;SpreadDelta1bp;EquityDelta;FXDelta;InflationDelta1bp;Counterparty;ISIN;Market;Variable;Type;Unit;T0;Day 1;shock_std;Comment;Effect;Method
AT0000A04967;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);1638000.0;0.2702049509352272;1784910.87369863;9.756945318277548;9.449735924180356;9.449735924180356;19668.501484286466;-1734.5597942028285;-1734.5597942028285;0.0;0.0;0.0;;AT0000A04967;Interest rates;EU Rates;absolute;bps;0;25;0.0025;Parallell shift;-43363.99485507071;RateDelta1bp × shock_bps
AT0000A04967;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);1638000.0;0.2702049509352272;1784910.87369863;9.756945318277548;9.449735924180356;9.449735924180356;19668.501484286466;-1734.5597942028285;-1734.5597942028285;0.0;0.0;0.0;;AT0000A04967;Gov Spreads;Low risk countries;absolute;bps;0;15;0.0015;Spread vs. swap rate;-26018.396913042427;SpreadDelta1bp × shock_bps
AT0000A0U299;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);988000.0;0.1575326379074994;1040623.857521133;20.644865608321005;19.933225096115496;19.9332250961155;59843.238098587775;-2130.3101852043296;-2130.3101852043296;0.0;0.0;0.0;;AT0000A0U299;Interest rates;EU Rates;absolute;bps;0;25;0.0025;Parallell shift;-53257.75463010824;RateDelta1bp × shock_bps
AT0000A0U299;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);988000.0;0.1575326379074994;1040623.857521133;20.644865608321005;19.933225096115496;19.9332250961155;59843.238098587775;-2130.3101852043296;-2130.3101852043296;0.0;0.0;0.0;;AT0000A0U299;Gov Spreads;Low risk countries;absolute;bps;0;15;0.0015;Spread vs. swap rate;-31954.652778064945;SpreadDelta1bp × shock_bps
AT0000A0VRQ6;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);1100000.0;0.1626428229672469;1074380.5479451444;14.213651337438884;13.733663369113392;13.73366336911339;26050.0629712934;-1512.86754650598;-1512.86754650598;0.0;0.0;0.0;;AT0000A0VRQ6;Interest rates;EU Rates;absolute;bps;0;25;0.0025;Parallell shift;-37821.6886626495;RateDelta1bp × shock_bps
AT0000A0VRQ6;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);1100000.0;0.1626428229672469;1074380.5479451444;14.213651337438884;13.733663369113392;13.73366336911339;26050.0629712934;-1512.86754650598;-1512.86754650598;0.0;0.0;0.0;;AT0000A0VRQ6;Gov Spreads;Low risk countries;absolute;bps;0;15;0.0015;Spread vs. swap rate;-22693.013197589702;SpreadDelta1bp × shock_bps
AT0000A1PEF7;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);600000.0;0.0472789890447849;312313.9726027614;31.107851500213023;30.08870930314418;30.08870930314419;43850.69797008637;-979.9629639766657;-979.9629639766657;0.0;0.0;0.0;;AT0000A1PEF7;Interest rates;EU Rates;absolute;bps;0;25;0.0025;Parallell shift;-24499.074099416644;RateDelta1bp × shock_bps
AT0000A1PEF7;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);600000.0;0.0472789890447849;312313.9726027614;31.107851500213023;30.08870930314418;30.08870930314419;43850.69797008637;-979.9629639766657;-979.9629639766657;0.0;0.0;0.0;;AT0000A1PEF7;Gov Spreads;Low risk countries;absolute;bps;0;15;0.0015;Spread vs. swap rate;-14699.444459649985;SpreadDelta1bp × shock_bps
AT0000A269M8;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);2000000.0;0.281612804496295;1860268.493150956;3.8620714890105914;3.7709546718372007;3.7709546718372007;3343.0315207068334;-718.9395442190958;-718.9395442190958;0.0;0.0;0.0;;AT0000A269M8;Interest rates;EU Rates;absolute;bps;0;25;0.0025;Parallell shift;-17973.488605477392;RateDelta1bp × shock_bps
AT0000A269M8;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);2000000.0;0.281612804496295;1860268.493150956;3.8620714890105914;3.7709546718372007;3.7709546718372007;3343.0315207068334;-718.9395442190958;-718.9395442190958;0.0;0.0;0.0;;AT0000A269M8;Gov Spreads;Low risk countries;absolute;bps;0;15;0.0015;Spread vs. swap rate;-10784.093163286436;SpreadDelta1bp × shock_bps
AT0000A2CQD2;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2030);2747000.0;0.3678182414420885;2429721.500003423;4.893150763699717;4.771944433638181;4.771944433638181;6663.558488685887;-1189.5650193167444;-1189.5650193167444;0.0;0.0;0.0;;AT0000A2CQD2;Interest rates;EU Rates;absolute;bps;0;25;0.0025;Parallell shift;-29739.12548291861;RateDelta1bp × shock_bps
AT0000A2CQD2;300128;Bond;Austria;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2030);2747000.0;0.3678182414420885;2429721.500003423;4.893150763699717;4.771944433638181;4.771944433638181;6663.558488685887;-1189.5650193167444;-1189.5650193167444;0.0;0.0;0.0;;AT0000A2CQD2;Gov Spreads;Low risk countries;absolute;bps;0;15;0.0015;Spread vs. swap rate;-17843.475289751164;SpreadDelta1bp × shock_bps
