Identifier,Portfolio,AssetClass,Country,AssetID,Nominal,TVPercent,TV,MacaulayDuration,Duration,DollarRateConvexity1pc,RateDelta1bp,SpreadDelta1bp,FXDelta,InflationDelta1bp,Counterparty,ISIN,Market,Variable,Type,Unit,T0,Day 1,shock_std,Comment,Effect,Method
XS3038544790,900200,Bond,Australia,"BRAMBLES LTD (EUR 3.625, 2-Apr-2033)",3500000.0,0.4485598926039229,3494074.076150994,6.980757741408475,6.736100482391644,19315.29754845593,-2406.33357991024,-2406.33357991024,0.0,0.0,,XS3038544790,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-60158.339497756,RateDelta1bp × shock_bps
XS3038544790,900200,Bond,Australia,"BRAMBLES LTD (EUR 3.625, 2-Apr-2033)",3500000.0,0.4485598926039229,3494074.076150994,6.980757741408475,6.736100482391644,19315.29754845593,-2406.33357991024,-2406.33357991024,0.0,0.0,,XS3038544790,Corp Spreads Europe,ITRAXX_IG,absolute,bps,0,35,0.0035,Spread vs. swap rate,-84221.6752968584,SpreadDelta1bp × shock_bps
XS2904849879,900200,Bond,Austria,"RAIFFEISEN BANK INTERNATIONAL AG (EUR 5.250, 2-Jan-2035)",4000000.0,0.5315630319030189,4140630.1371053937,4.084598253319214,3.9018436894384134,8233.93931727402,-1689.1881487711098,-1689.1881487711098,0.0,0.0,,XS2904849879,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-42229.70371927774,RateDelta1bp × shock_bps
XS2904849879,900200,Bond,Austria,"RAIFFEISEN BANK INTERNATIONAL AG (EUR 5.250, 2-Jan-2035)",4000000.0,0.5315630319030189,4140630.1371053937,4.084598253319214,3.9018436894384134,8233.93931727402,-1689.1881487711098,-1689.1881487711098,0.0,0.0,,XS2904849879,Corp Spreads Europe,ITRAXX_SUB_FI,absolute,bps,0,95,0.0095,Spread vs. swap rate,-160472.87413325542,SpreadDelta1bp × shock_bps
BE0390201672,900200,Bond,Belgium,"FLUVIUS SYSTEM OPERATOR CVBA (EUR 3.500, 12-Mar-2035)",7000000.0,0.87941209347891,6850213.424657532,8.44110565506039,8.134215073525286,5374.808575452634,-5702.640726868512,-5702.640726868512,0.0,0.0,,BE0390201672,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-142566.01817171279,RateDelta1bp × shock_bps
BE0390201672,900200,Bond,Belgium,"FLUVIUS SYSTEM OPERATOR CVBA (EUR 3.500, 12-Mar-2035)",7000000.0,0.87941209347891,6850213.424657532,8.44110565506039,8.134215073525286,5374.808575452634,-5702.640726868512,-5702.640726868512,0.0,0.0,,BE0390201672,Corp Spreads Europe,ITRAXX_IG,absolute,bps,0,35,0.0035,Spread vs. swap rate,-199592.4254403979,SpreadDelta1bp × shock_bps
BE6362152199,900200,Bond,Belgium,"VGP (EUR 4.250, 29-Jan-2031)",4000000.0,0.5066851247560895,3946842.7480315054,5.177247808487059,4.95433606859128,12143.7932385601,-2002.7583392618048,-2002.7583392618048,0.0,0.0,,BE6362152199,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-50068.95848154512,RateDelta1bp × shock_bps
BE6362152199,900200,Bond,Belgium,"VGP (EUR 4.250, 29-Jan-2031)",4000000.0,0.5066851247560895,3946842.7480315054,5.177247808487059,4.95433606859128,12143.7932385601,-2002.7583392618048,-2002.7583392618048,0.0,0.0,,BE6362152199,Corp Spreads Europe,ITRAXX_SE_FI,absolute,bps,0,40,0.004,Spread vs. swap rate,-80110.3335704722,SpreadDelta1bp × shock_bps
FR0012737963,900200,Bond,France,"CREDIT AGRICOLE SA (EUR 2.700, 15-Jul-2025)",2700000.0,0.3482669570509262,2712838.4999996554,0.2899892427143911,0.2878308724248783,41.9619519131888,-78.33000558424631,-78.33000558424631,0.0,0.0,,FR0012737963,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-1958.2501396061577,RateDelta1bp × shock_bps
FR0012737963,900200,Bond,France,"CREDIT AGRICOLE SA (EUR 2.700, 15-Jul-2025)",2700000.0,0.3482669570509262,2712838.4999996554,0.2899892427143911,0.2878308724248783,41.9619519131888,-78.33000558424631,-78.33000558424631,0.0,0.0,,FR0012737963,Corp Spreads Europe,ITRAXX_SUB_FI,absolute,bps,0,95,0.0095,Spread vs. swap rate,-7441.3505305034,SpreadDelta1bp × shock_bps
FR0013413887,900200,Bond,France,"ORANGE SA (EUR 4.629, Perpetual)",4000000.0,0.5245620710454753,4086095.89041096,0.0410958904453932,0.0389757815552729,15.725012403322586,-16.792174892099837,-16.792174892099837,0.0,0.0,,FR0013413887,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-419.80437230249595,RateDelta1bp × shock_bps
FR0013413887,900200,Bond,France,"ORANGE SA (EUR 4.629, Perpetual)",4000000.0,0.5245620710454753,4086095.89041096,0.0410958904453932,0.0389757815552729,15.725012403322586,-16.792174892099837,-16.792174892099837,0.0,0.0,,FR0013413887,Corp Spreads Europe,ITRAXX_IG,absolute,bps,0,35,0.0035,Spread vs. swap rate,-587.7261212234943,SpreadDelta1bp × shock_bps
FR0014009A50,900200,Bond,France,"BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 1.000, 23-May-2025)",5800000.0,0.7489725968219553,5834150.082191716,0.1452054795919112,0.141182605125601,91.71501247350596,-84.7150559879893,-84.7150559879893,0.0,0.0,,FR0014009A50,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-2117.8763996997327,RateDelta1bp × shock_bps
FR0014009A50,900200,Bond,France,"BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 1.000, 23-May-2025)",5800000.0,0.7489725968219553,5834150.082191716,0.1452054795919112,0.141182605125601,91.71501247350596,-84.7150559879893,-84.7150559879893,0.0,0.0,,FR0014009A50,Corp Spreads Europe,ITRAXX_SE_FI,absolute,bps,0,40,0.004,Spread vs. swap rate,-3388.6022395195723,SpreadDelta1bp × shock_bps
FR001400A5N5,900200,Bond,France,"KERING SA (EUR 1.250, 5-May-2025)",6800000.0,0.8812776587359725,6864745.315068487,0.0958904110407584,0.0929890186185941,67.83888420815575,-65.82632493901289,-65.82632493901289,0.0,0.0,,FR001400A5N5,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-1645.6581234753223,RateDelta1bp × shock_bps
FR001400A5N5,900200,Bond,France,"KERING SA (EUR 1.250, 5-May-2025)",6800000.0,0.8812776587359725,6864745.315068487,0.0958904110407584,0.0929890186185941,67.83888420815575,-65.82632493901289,-65.82632493901289,0.0,0.0,,FR001400A5N5,Corp Spreads Europe,ITRAXX_IG,absolute,bps,0,35,0.0035,Spread vs. swap rate,-2303.9213728654513,SpreadDelta1bp × shock_bps
FR001400N6I8,900200,Bond,France,"BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 3.750, 3-Feb-2034)",100000.0,0.0129358570109462,100764.34246575343,7.650788759547565,7.376149768623145,671.5227862663645,-76.9401649546299,-76.9401649546299,0.0,0.0,,FR001400N6I8,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-1923.5041238657477,RateDelta1bp × shock_bps
FR001400N6I8,900200,Bond,France,"BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 3.750, 3-Feb-2034)",100000.0,0.0129358570109462,100764.34246575343,7.650788759547565,7.376149768623145,671.5227862663645,-76.9401649546299,-76.9401649546299,0.0,0.0,,FR001400N6I8,Corp Spreads Europe,ITRAXX_SE_FI,absolute,bps,0,40,0.004,Spread vs. swap rate,-3077.606598185196,SpreadDelta1bp × shock_bps
FR001400Y969,900200,Bond,France,"AIR LIQUIDE SA (EUR 3.500, 21-Mar-2035)",5000000.0,0.6438886212624725,5015594.520547946,8.475231362287156,8.191878368966679,40824.502825454365,-4203.629621378072,-4203.629621378072,0.0,0.0,,FR001400Y969,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-105090.7405344518,RateDelta1bp × shock_bps
FR001400Y969,900200,Bond,France,"AIR LIQUIDE SA (EUR 3.500, 21-Mar-2035)",5000000.0,0.6438886212624725,5015594.520547946,8.475231362287156,8.191878368966679,40824.502825454365,-4203.629621378072,-4203.629621378072,0.0,0.0,,FR001400Y969,Corp Spreads Europe,ITRAXX_IG,absolute,bps,0,35,0.0035,Spread vs. swap rate,-147127.03674823252,SpreadDelta1bp × shock_bps
FR0128910454,900200,Bond,France,NEUCP ORANOF 20250212 20250423 2.82,3500000.0,0.4485854973700109,3494273.525435,0.0638888889443029,0.0622722195791372,22.56402065192675,-22.018709886302737,-22.018709886302737,0.0,0.0,,FR0128910454,Interest rates,EU Rates,absolute,bps,0,25,0.0025,Parallell shift,-550.4677471575684,RateDelta1bp × shock_bps
FR0128910454,900200,Bond,France,NEUCP ORANOF 20250212 20250423 2.82,3500000.0,0.4485854973700109,3494273.525435,0.0638888889443029,0.0622722195791372,22.56402065192675,-22.018709886302737,-22.018709886302737,0.0,0.0,,FR0128910454,Corp Spreads Europe,ITRAXX_IG,absolute,bps,0,35,0.0035,Spread vs. swap rate,-770.6548460205958,SpreadDelta1bp × shock_bps
