Identifier;Portfolio;AssetClass;Country;AssetID;Nominal;TVPercent;TV;MacaulayDuration;Duration;DollarRateConvexity1pc;RateDelta1bp;SpreadDelta1bp;FXDelta;InflationDelta1bp;Counterparty;ISIN;Market;Variable;Type;Unit;T0;Day 2;shock_std;Comment;Effect;Method
XS3038544790;900200;Bond;Australia;BRAMBLES LTD (EUR 3.625, 2-Apr-2033);3500000.0;0.4485598926039229;3349694.0613563797;6.980757741408475;7.218982921103042;19315.29754845593;-2406.33357991024;-2406.33357991024;0.0;0.0;;XS3038544790;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-120316.678995512;RateDelta1bp × shock_bps
XS3038544790;900200;Bond;Australia;BRAMBLES LTD (EUR 3.625, 2-Apr-2033);3500000.0;0.4485598926039229;3349694.0613563797;6.980757741408475;7.218982921103042;19315.29754845593;-2406.33357991024;-2406.33357991024;0.0;0.0;;XS3038544790;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-168443.3505937168;SpreadDelta1bp × shock_bps
XS2904849879;900200;Bond;Austria;RAIFFEISEN BANK INTERNATIONAL AG (EUR 5.250, 2-Jan-2035);4000000.0;0.5315630319030189;3937927.5592528605;4.084598253319214;4.107692172370264;8233.93931727402;-1689.1881487711098;-1689.1881487711098;0.0;0.0;;XS2904849879;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-84459.40743855548;RateDelta1bp × shock_bps
XS2904849879;900200;Bond;Austria;RAIFFEISEN BANK INTERNATIONAL AG (EUR 5.250, 2-Jan-2035);4000000.0;0.5315630319030189;3937927.5592528605;4.084598253319214;4.107692172370264;8233.93931727402;-1689.1881487711098;-1689.1881487711098;0.0;0.0;;XS2904849879;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0;190;0.019;Spread vs. swap rate;-320945.74826651084;SpreadDelta1bp × shock_bps
BE0390201672;900200;Bond;Belgium;FLUVIUS SYSTEM OPERATOR CVBA (EUR 3.500, 12-Mar-2035);7000000.0;0.87941209347891;6508054.981045421;8.44110565506039;8.268585287911602;5374.808575452634;-5702.640726868512;-5702.640726868512;0.0;0.0;;BE0390201672;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-285132.03634342557;RateDelta1bp × shock_bps
BE0390201672;900200;Bond;Belgium;FLUVIUS SYSTEM OPERATOR CVBA (EUR 3.500, 12-Mar-2035);7000000.0;0.87941209347891;6508054.981045421;8.44110565506039;8.268585287911602;5374.808575452634;-5702.640726868512;-5702.640726868512;0.0;0.0;;BE0390201672;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0;70;0.007;Spread vs. swap rate;-399184.8508807958;SpreadDelta1bp × shock_bps
BE6362152199;900200;Bond;Belgium;VGP (EUR 4.250, 29-Jan-2031);4000000.0;0.5066851247560895;3816663.455979488;5.177247808487059;5.257930899555283;12143.7932385601;-2002.7583392618048;-2002.7583392618048;0.0;0.0;;BE6362152199;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-100137.91696309025;RateDelta1bp × shock_bps
BE6362152199;900200;Bond;Belgium;VGP (EUR 4.250, 29-Jan-2031);4000000.0;0.5066851247560895;3816663.455979488;5.177247808487059;5.257930899555283;12143.7932385601;-2002.7583392618048;-2002.7583392618048;0.0;0.0;;BE6362152199;Corp Spreads Europe;ITRAXX_SE_FI;absolute;bps;0;80;0.008;Spread vs. swap rate;-160220.6671409444;SpreadDelta1bp × shock_bps
FR0012737963;900200;Bond;France;CREDIT AGRICOLE SA (EUR 2.700, 15-Jul-2025);2700000.0;0.3482669570509262;2703438.899329546;0.2899892427143911;0.28887992122270806;41.9619519131888;-78.33000558424631;-78.33000558424631;0.0;0.0;;FR0012737963;Interest rates;EU Rates;absolute;bps;0;50;0.005;Parallell shift;-3916.5002792123155;RateDelta1bp × shock_bps
FR0012737963;900200;Bond;France;CREDIT AGRICOLE SA (EUR 2.700, 15-Jul-2025);2700000.0;0.3482669570509262;2703438.899329546;0.2899892427143911;0.28887992122270806;41.9619519131888;-78.33000558424631;-78.33000558424631;0.0;0.0;;FR0012737963;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0;190;0.019;Spread vs. swap rate;-14882.7010610068;SpreadDelta1bp × shock_bps
