;Identifier;Portfolio;AssetClass;AssetID;Nominal;TVPercent;TV;Duration;SpreadDuration;DollarRateConvexity1pc;RateDelta1bp;SpreadDelta1bp;EquityDelta;FXDelta;InflationDelta1bp;Counterparty;NetExposure;LiquidityScore;ISIN;Market;Variable;Type;Unit;T0;Day 1;shock_std;Comment;Effect;Method
0;AT0000A04967;300128;Bond;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);1638000.0;0.270204951;1784910.874;9.449735924;9.449735924;19668.50148;-1734.559794;-1734.559794;0.0;0.0;0.0;;1784910.874;10.0;AT0000A04967;Interest rates;EU Rates;absolute;bps;0.0;25;0.0025;Parallell shift;-43363.99485;RateDelta1bp × shock_bps
1;AT0000A04967;300128;Bond;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);1638000.0;0.270204951;1784910.874;9.449735924;9.449735924;19668.50148;-1734.559794;-1734.559794;0.0;0.0;0.0;;1784910.874;10.0;AT0000A04967;Gov Spreads;Low risk countries;absolute;bps;0.0;15;0.0015;Spread vs. swap rate;-26018.39691;SpreadDelta1bp × shock_bps
2;AT0000A0U299;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);988000.0;0.157532638;1040623.858;19.9332251;19.9332251;59843.2381;-2130.310185;-2130.310185;0.0;0.0;0.0;;1040623.858;9.0;AT0000A0U299;Interest rates;EU Rates;absolute;bps;0.0;25;0.0025;Parallell shift;-53257.754624999994;RateDelta1bp × shock_bps
3;AT0000A0U299;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);988000.0;0.157532638;1040623.858;19.9332251;19.9332251;59843.2381;-2130.310185;-2130.310185;0.0;0.0;0.0;;1040623.858;9.0;AT0000A0U299;Gov Spreads;Low risk countries;absolute;bps;0.0;15;0.0015;Spread vs. swap rate;-31954.652775;SpreadDelta1bp × shock_bps
4;AT0000A0VRQ6;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);1100000.0;0.162642823;1074380.548;13.73366337;13.73366337;26050.06297;-1512.867547;-1512.867547;0.0;0.0;0.0;;1074380.548;10.0;AT0000A0VRQ6;Interest rates;EU Rates;absolute;bps;0.0;25;0.0025;Parallell shift;-37821.688675000005;RateDelta1bp × shock_bps
5;AT0000A0VRQ6;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);1100000.0;0.162642823;1074380.548;13.73366337;13.73366337;26050.06297;-1512.867547;-1512.867547;0.0;0.0;0.0;;1074380.548;10.0;AT0000A0VRQ6;Gov Spreads;Low risk countries;absolute;bps;0.0;15;0.0015;Spread vs. swap rate;-22693.013205;SpreadDelta1bp × shock_bps
6;AT0000A1PEF7;300128;Bond;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);600000.0;0.047278989;312313.9726;30.0887093;30.0887093;43850.69797;-979.962964;-979.962964;0.0;0.0;0.0;;312313.9726;9.0;AT0000A1PEF7;Interest rates;EU Rates;absolute;bps;0.0;25;0.0025;Parallell shift;-24499.0741;RateDelta1bp × shock_bps
7;AT0000A1PEF7;300128;Bond;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);600000.0;0.047278989;312313.9726;30.0887093;30.0887093;43850.69797;-979.962964;-979.962964;0.0;0.0;0.0;;312313.9726;9.0;AT0000A1PEF7;Gov Spreads;Low risk countries;absolute;bps;0.0;15;0.0015;Spread vs. swap rate;-14699.44446;SpreadDelta1bp × shock_bps
8;AT0000A269M8;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);2000000.0;0.281612804;1860268.493;3.770954672;3.770954672;3343.031521;-718.9395442;-718.9395442;0.0;0.0;0.0;;1860268.493;10.0;AT0000A269M8;Interest rates;EU Rates;absolute;bps;0.0;25;0.0025;Parallell shift;-17973.488605;RateDelta1bp × shock_bps
9;AT0000A269M8;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);2000000.0;0.281612804;1860268.493;3.770954672;3.770954672;3343.031521;-718.9395442;-718.9395442;0.0;0.0;0.0;;1860268.493;10.0;AT0000A269M8;Gov Spreads;Low risk countries;absolute;bps;0.0;15;0.0015;Spread vs. swap rate;-10784.093163;SpreadDelta1bp × shock_bps
