;Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_before_stress;TV_after_stress;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next
0;300128;AT0000A04967;1715528.48224;9.449735924;9.449735924;19668.50148;-64845.1645090741;;0.0;0.0;1784910.874;10.0;AT0000A04967;Bond;1715528.48224;1650683.317730926;0.0025;9.386355171202123;0.0015;9.411707472321275
1;300128;AT0000A0U299;955411.4506;19.9332251;19.9332251;59843.2381;-76177.72603170932;;0.0;0.0;1040623.858;9.0;AT0000A0U299;Bond;955411.4506;879233.7245682906;0.0025;19.36065649431306;0.0015;19.589683936587836
2;300128;AT0000A0VRQ6;1013865.8461199999;13.73366337;13.73366337;26050.06297;-55696.36893180919;;0.0;0.0;1074380.548;10.0;AT0000A0VRQ6;Bond;1013865.8461199999;958169.4771881907;0.0025;13.562852225446457;0.0015;13.631176683267874
3;300128;AT0000A1PEF7;273115.45404;30.0887093;30.0887093;43850.69797;-32870.76600778828;;0.0;0.0;312313.9726;9.0;AT0000A1PEF7;Bond;273115.45404;240244.6880322117;0.0025;28.338101213274665;0.0015;29.0383444479648
4;300128;AT0000A269M8;1831510.911232;3.770954672;3.770954672;3343.031521;-27626.178510117148;;0.0;0.0;1860268.493;10.0;AT0000A269M8;Bond;1831510.911232;1803884.7327218829;0.0025;3.760872765806941;0.0015;3.7649055282841646
5;300128;AT0000A2CQD2;2382138.89924;4.771944434;4.771944434;6663.558489;-45469.73784497281;;0.0;0.0;2429721.5;10.0;AT0000A2CQD2;Bond;2382138.89924;2336669.1613950273;0.0025;4.7589405540753615;0.0015;4.764142106045217
6;300128;AT0000A2EJ08;608238.4995599999;21.81019763;21.81019763;36332.60901;-53063.20752631306;;0.0;0.0;668352.526;10.0;AT0000A2EJ08;Bond;608238.4995599999;555175.2920336869;0.0025;21.506055712824907;0.0015;21.627712479694946
7;300128;AT0000A2HLC4;71367.982812;40.51501812;40.51501812;23837.36018;-11565.900467264113;;0.0;0.0;86098.9589;9.0;AT0000A2HLC4;Bond;71367.982812;59802.082344735885;0.0025;36.26852584600629;0.0015;37.967122755603775
8;300128;AT0000A2L583;1922306.650692;2.32194473;2.32194473;1339.909592;-53561.877564218885;;0.0;0.0;1978997.253;5.0;AT0000A2L583;Bond;1922306.650692;1868744.7731277812;0.0025;2.317997493866639;0.0095;2.3069452326932276
9;300128;AT0000A2NW83;225273.918576;5.737991191;5.737991191;888.5171551;-5170.4790414045565;;0.0;0.0;230715.0;10.0;AT0000A2NW83;Bond;225273.918576;220103.43953459544;0.0025;5.721698462107182;0.0015;5.728215553664309
