,Portfolio,Counterparty,Balance_J,Balance_J_1,Variation,Seuil declenchement,Seuil_respecte,Appel_declenche,Sens_appel,Balance_apres_appel,Fonds_monetaires_initial,Fonds_monetaires_utilises,Fonds_monetaires_restant,Obligations_liquides_initial,Obligations_liquides_utilisees,Obligations_liquides_restantes,Cash_initial,Cash_disponible,Cash_utilise,Cash_restant,Alerte
0,300128,CITIBANK EUROPE PUBLIC LIMITED COMPANY,241624.4310575,0.0,241624.4310575,0.0,False,True,Contrepartie poste,241624.4310575,0.0,0.0,0.0,572812531.9346691,0.0,572812531.9346691,6035277.070499999,2702894.42,0.0,5627057.704891324,
1,300128,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,16206.290784999957,0.0,16206.290784999957,0.0,False,True,Contrepartie poste,16206.290784999957,0.0,0.0,0.0,572812531.9346691,0.0,572812531.9346691,6035277.070499999,2702894.42,0.0,5627057.704891324,
2,300128,GOLDMAN SACHS BANK EUROPE SE,-387666.5256086751,0.0,-387666.5256086751,0.0,False,True,Groupama poste,-387666.5256086751,0.0,0.0,0.0,572812531.9346691,0.0,572812531.9346691,6035277.070499999,2702894.42,387666.5256086751,5627057.704891324,
3,300128,GOLDMAN SACHS INTERNATIONAL  PARIS BRANCH,517340.88575250003,0.0,517340.88575250003,0.0,False,True,Contrepartie poste,517340.88575250003,0.0,0.0,0.0,572812531.9346691,0.0,572812531.9346691,6035277.070499999,2702894.42,0.0,5627057.704891324,
4,300128,JP MORGAN SE,281000.65802324994,0.0,281000.65802324994,0.0,False,True,Contrepartie poste,281000.65802324994,0.0,0.0,0.0,572812531.9346691,0.0,572812531.9346691,6035277.070499999,2702894.42,0.0,5627057.704891324,
5,300128,MORGAN STANLEY EUROPE SE,1030662.472565,0.0,1030662.472565,0.0,False,True,Contrepartie poste,1030662.472565,0.0,0.0,0.0,572812531.9346691,0.0,572812531.9346691,6035277.070499999,2702894.42,0.0,5627057.704891324,
6,300128,NATIXIS,-20552.83999999985,0.0,-20552.83999999985,0.0,False,True,Groupama poste,-20552.83999999985,0.0,0.0,0.0,572812531.9346691,0.0,572812531.9346691,6035277.070499999,2702894.42,20552.83999999985,5627057.704891324,
7,300155,State Street Bank International GmbH,-134176.1813750001,0.0,-134176.1813750001,0.0,False,True,Groupama poste,-134176.1813750001,38185664.77674,13939539.14227,24246125.634469997,0.0,0.0,0.0,0.0,-2033373.97,0.0,0.0,
8,300156,NATIXIS,-112418.80114999964,0.0,-112418.80114999964,0.0,False,True,Groupama poste,-112418.80114999964,52310294.28339,11089958.254449999,41220336.02894,0.0,0.0,0.0,2704347.09,2704347.09,0.0,2704347.09,
9,300191,BNP PARIBAS,36685.567983476016,0.0,36685.567983476016,0.0,False,True,Contrepartie poste,36685.567983476016,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,93685302.05,93685302.05,0.0,93617238.18676741,
10,300191,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,321462.26516727253,0.0,321462.26516727253,0.0,False,True,Contrepartie poste,321462.26516727253,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,93685302.05,93685302.05,0.0,93617238.18676741,
11,300191,JP MORGAN SE,1298.417709400656,0.0,1298.417709400656,0.0,False,True,Contrepartie poste,1298.417709400656,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,93685302.05,93685302.05,0.0,93617238.18676741,
12,300191,NATIXIS,262420.1917265093,0.0,262420.1917265093,0.0,False,True,Contrepartie poste,262420.1917265093,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,93685302.05,93685302.05,0.0,93617238.18676741,
13,300191,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,-25646.13355334675,0.0,-25646.13355334675,0.0,False,True,Groupama poste,-25646.13355334675,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,93685302.05,93685302.05,25646.13355334675,93617238.18676741,
14,300191,SOCIETE GENERALE,-42417.72967924815,0.0,-42417.72967924815,0.0,False,True,Groupama poste,-42417.72967924815,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,93685302.05,93685302.05,42417.72967924815,93617238.18676741,
15,300193,BNP PARIBAS,4292718.9514475,0.0,4292718.9514475,0.0,False,True,Contrepartie poste,4292718.9514475,30985503.9299185,1089629.5211999998,29895874.4087185,1542728870.6198862,0.0,1542728870.6198862,1747593.25,1747593.25,0.0,1747593.25,
16,300193,MORGAN STANLEY EUROPE SE,659401.819500002,0.0,659401.819500002,0.0,False,True,Contrepartie poste,659401.819500002,30985503.9299185,0.0,29895874.4087185,1542728870.6198862,0.0,1542728870.6198862,1747593.25,1747593.25,0.0,1747593.25,
17,300203,BNP PARIBAS,170535.89855115997,0.0,170535.89855115997,0.0,False,True,Contrepartie poste,170535.89855115997,499352398.9627875,0.0,499015295.4912828,5155512406.142143,0.0,5155512406.142143,996960370.7,996960370.7,0.0,996960370.7,
18,300203,CITIBANK EUROPE PUBLIC LIMITED COMPANY,-42926.135136200595,0.0,-42926.135136200595,0.0,False,True,Groupama poste,-42926.135136200595,499352398.9627875,42926.135136200595,499015295.4912828,5155512406.142143,0.0,5155512406.142143,996960370.7,996960370.7,0.0,996960370.7,
19,300203,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,484671.1578740416,0.0,484671.1578740416,0.0,False,True,Contrepartie poste,484671.1578740416,499352398.9627875,0.0,499015295.4912828,5155512406.142143,0.0,5155512406.142143,996960370.7,996960370.7,0.0,996960370.7,
20,300203,JP MORGAN SE,-2990.4615745993037,0.0,-2990.4615745993037,0.0,False,True,Groupama poste,-2990.4615745993037,499352398.9627875,2990.4615745993037,499015295.4912828,5155512406.142143,0.0,5155512406.142143,996960370.7,996960370.7,0.0,996960370.7,
21,300203,NATIXIS,129516.1728578787,0.0,129516.1728578787,0.0,False,True,Contrepartie poste,129516.1728578787,499352398.9627875,0.0,499015295.4912828,5155512406.142143,0.0,5155512406.142143,996960370.7,996960370.7,0.0,996960370.7,
22,300203,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,-99499.93616539569,0.0,-99499.93616539569,0.0,False,True,Groupama poste,-99499.93616539569,499352398.9627875,99499.93616539569,499015295.4912828,5155512406.142143,0.0,5155512406.142143,996960370.7,996960370.7,0.0,996960370.7,
23,300203,SOCIETE GENERALE,-191686.9386285243,0.0,-191686.9386285243,0.0,False,True,Groupama poste,-191686.9386285243,499352398.9627875,191686.9386285243,499015295.4912828,5155512406.142143,0.0,5155512406.142143,996960370.7,996960370.7,0.0,996960370.7,
24,300208,BNP PARIBAS,-49559.20177257717,0.0,-49559.20177257717,0.0,False,True,Groupama poste,-49559.20177257717,0.0,0.0,0.0,4767884603.9784975,0.0,4767884603.9784975,836777438.8,836777438.8,49559.20177257717,836529285.3860472,
25,300208,CITIBANK EUROPE PUBLIC LIMITED COMPANY,-51581.12455022637,0.0,-51581.12455022637,0.0,False,True,Groupama poste,-51581.12455022637,0.0,0.0,0.0,4767884603.9784975,0.0,4767884603.9784975,836777438.8,836777438.8,51581.12455022637,836529285.3860472,
