;Portfolio;Counterparty;Balance_J;Balance_J_1;Variation;Seuil declenchement;Seuil_respecte;Appel_declenche;Sens_appel;Balance_apres_appel;Fonds_monetaires_initial;Fonds_monetaires_utilises;Fonds_monetaires_restant;Obligations_liquides_initial;Obligations_liquides_utilisees;Obligations_liquides_restantes;Cash_deficit_couvert_par_fonds;Cash_deficit_couvert_par_obligations;Futures_augmentent_cash;Futures_couverts_par_fonds;Futures_couverts_par_cash;Futures_couverts_par_obligations;Options_augmentent_cash;Options_couverts_par_fonds;Options_couverts_par_cash;Options_couverts_par_obligations;Liability_total;Liability_couverts_par_fonds;Liability_couverts_par_cash;Liability_couverts_par_obligations;Cash_initial;Cash_disponible;Cash_utilise;Cash_restant;Alerte
0;300128;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;3332382.6504999995;0.0;0.0;0.0;630029.8376000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
1;300128;CITIBANK EUROPE PUBLIC LIMITED COMPANY;322935.995299065;241624.4310575;81311.564241565;100000.0;True;False;Aucun appel;241624.4310575;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
2;300128;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;-58113.67128493426;16206.290784999957;-74319.96206993422;100000.0;True;False;Aucun appel;16206.290784999957;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
3;300128;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
4;300128;Citigroup Global Markets Europe AG;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
5;300128;DEUTSCHE BANK AKTIENGESELLSCHAFT;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
6;300128;GOLDMAN SACHS BANK EUROPE SE;-796432.560582519;-387666.5256086751;-408766.03497384395;100000.0;False;True;Groupama poste;-796432.560582519;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;408766.03497384395;7133392.41561748;
7;300128;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
8;300128;GOLDMAN SACHS INTERNATIONAL  PARIS BRANCH;693377.0992571735;517340.88575250003;176036.21350467345;0.0;False;True;Contrepartie poste;693377.0992571735;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
9;300128;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
10;300128;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
11;300128;JP MORGAN SE;565840.5459907154;281000.65802324994;284839.88796746545;100000.0;False;True;Contrepartie poste;565840.5459907154;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
12;300128;MORGAN STANLEY EUROPE SE;5239767.28231958;1030662.472565;4209104.80975458;100000.0;False;True;Contrepartie poste;5239767.28231958;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
13;300128;NATIXIS;-20552.83999999985;-20552.83999999985;0.0;100000.0;True;False;Aucun appel;-20552.83999999985;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
14;300128;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;0.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
15;300128;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
16;300128;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
17;300128;State Street Bank International GmbH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;352955407.7423681;0.0;352955407.7423681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7542158.450591324;7542158.450591324;0.0;7133392.41561748;
18;300154;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;11641717.007515822;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;2461334.857369871;0.0;0.0;0.0;148474.81929615382;0.0;0.0;9031907.330849797;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;
19;300154;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20;300154;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21;300154;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22;300154;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23;300154;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24;300154;JP MORGAN SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25;300154;MORGAN STANLEY EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
26;300154;NATIXIS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
27;300154;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
28;300154;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
29;300154;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;27185445.971310996;0.0;15543728.963795174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9031907.330849797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
30;300155;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;13669093.24799392;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;12535304.942942286;0.0;0.0;0.0;60938.44801410247;0.0;0.0;1072849.8570375314;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;
31;300155;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
32;300155;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
33;300155;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
34;300155;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
35;300155;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
36;300155;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
37;300155;JP MORGAN SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
38;300155;MORGAN STANLEY EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
39;300155;NATIXIS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
40;300155;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
41;300155;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
42;300155;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
43;300155;State Street Bank International GmbH;290660.7446030238;-134176.1813750001;424836.9259780239;100000.0;False;True;Contrepartie poste;290660.7446030238;32475718.694394372;0.0;18806625.446400452;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1072849.8570375314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
44;300156;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;47257284.834002234;13054107.79420356;34203177.03979867;0.0;0.0;0.0;0.0;0.0;0.0;12038714.765628053;0.0;0.0;142246.60333333345;0.0;0.0;0.0;1015393.0285755076;1015393.0285755076;0.0;0.0;2985284.1315833335;2985284.1315833335;0.0;2985284.1315833335;
45;300156;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;47257284.834002234;0.0;34203177.03979867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1015393.0285755076;0.0;0.0;0.0;2985284.1315833335;2985284.1315833335;0.0;2985284.1315833335;
46;300156;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;47257284.834002234;0.0;34203177.03979867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1015393.0285755076;0.0;0.0;0.0;2985284.1315833335;2985284.1315833335;0.0;2985284.1315833335;
47;300156;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;47257284.834002234;0.0;34203177.03979867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1015393.0285755076;0.0;0.0;0.0;2985284.1315833335;2985284.1315833335;0.0;2985284.1315833335;
48;300156;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;47257284.834002234;0.0;34203177.03979867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1015393.0285755076;0.0;0.0;0.0;2985284.1315833335;2985284.1315833335;0.0;2985284.1315833335;
49;300156;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;47257284.834002234;0.0;34203177.03979867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1015393.0285755076;0.0;0.0;0.0;2985284.1315833335;2985284.1315833335;0.0;2985284.1315833335;
