;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;LiquidityScore;TV_before_stress
0;300128;AT0000A04967;AT0000A04967;Bond;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);19668.50148;9.449735924;0.0;0.0;0.0;9.756945318;1784910.874;1638000.0;-1621.1291127268526;-1621.1291127268526;9.449735924;1715528.48224;0.270204951;1784910.874;;10.0;1784910.874
1;300128;AT0000A0U299;AT0000A0U299;Bond;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);59843.2381;19.9332251;0.0;0.0;0.0;20.64486561;1040623.858;988000.0;-1904.4431507927331;-1904.4431507927331;19.9332251;955411.4506;0.157532638;1040623.858;;9.0;1040623.858
2;300128;AT0000A0VRQ6;AT0000A0VRQ6;Bond;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);26050.06297;13.73366337;0.0;0.0;0.0;14.21365134;1074380.548;1100000.0;-1392.4092232952298;-1392.4092232952298;13.73366337;1013865.8461199999;0.162642823;1074380.548;;10.0;1074380.548
3;300128;AT0000A1PEF7;AT0000A1PEF7;Bond;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);43850.69797;30.0887093;0.0;0.0;0.0;31.1078515;312313.9726;600000.0;-821.7691501947071;-821.7691501947071;30.0887093;273115.45404;0.047278989;312313.9726;;9.0;312313.9726
4;300128;AT0000A269M8;AT0000A269M8;Bond;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);3343.031521;3.770954672;0.0;0.0;0.0;3.862071489;1860268.493;2000000.0;-690.6544627529287;-690.6544627529287;3.770954672;1831510.911232;0.281612804;1860268.493;;10.0;1860268.493
5;300128;AT0000A2CQD2;AT0000A2CQD2;Bond;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2030);6663.558489;4.771944434;0.0;0.0;0.0;4.893150764;2429721.5;2747000.0;-1136.7434461243204;-1136.7434461243204;4.771944434;2382138.89924;0.367818241;2429721.5;;10.0;2429721.5
6;300128;AT0000A2EJ08;AT0000A2EJ08;Bond;REPUBLIC OF AUSTRIA (EUR 0.750, 20-Mar-2051);36332.60901;21.81019763;0.0;0.0;0.0;22.56972695;668352.526;1242000.0;-1326.5801881578266;-1326.5801881578266;21.81019763;608238.4995599999;0.101177131;668352.526;;10.0;668352.526
7;300128;AT0000A2HLC4;AT0000A2HLC4;Bond;REPUBLIC OF AUSTRIA (EUR 0.850, 30-Jun-2120);23837.36018;40.51501812;0.0;0.0;0.0;41.66148723;86098.9589;242000.0;-289.14751168160285;-289.14751168160285;40.51501812;71367.982812;0.013033908;86098.9589;;9.0;86098.9589
8;300128;AT0000A2L583;AT0000A2L583;Bond;ERSTE GROUP BANK AG (EUR 4.250, Perpetual);1339.909592;2.32194473;0.0;0.0;0.0;2.386154938;1978997.253;2000000.0;-446.348979701824;-446.348979701824;2.32194473;1922306.650692;0.299586306;1978997.253;;5.0;1978997.253
9;300128;AT0000A2NW83;AT0000A2NW83;Bond;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2031);888.5171551;5.737991191;0.0;0.0;0.0;5.893150812;230715.0;270000.0;-129.26197603511392;-129.26197603511392;5.737991191;225273.918576;0.034926301;230715.0;;10.0;230715.0
10;300128;AT0000A324S8;AT0000A324S8;Bond;REPUBLIC OF AUSTRIA (EUR 2.900, 20-Feb-2033);12879.40341;6.941810178;0.0;0.0;0.0;7.145777955;2220884.959;2220000.0;-1497.6451352832373;-1497.6451352832373;6.941810178;2157427.38116;0.336203964;2220884.959;;10.0;2220884.959
11;300128;BE0000320292;BE0000320292;Bond;KINGDOM OF BELGIUM (EUR 4.250, 28-Mar-2041);35268.62212;11.64055724;0.0;0.0;0.0;12.06863193;2052875.334;1921000.0;-2275.7122685811096;-2275.7122685811096;11.64055724;1954985.6778;0.310770183;2052875.334;;10.0;2052875.334
