day_index,day_label,Portfolio,Identifier,AssetClass,TV_start,TV_pre_collateral,TV_end_of_day,Stress_PnL,Collateral_sales
1,Day 1,300191,BE6359531173,Bond,0.0,-6718.4676325,-6718.4676325,-6718.4676325,0.0
1,Day 1,300191,BE6360390031,Bond,0.0,-5257.85841425,-5257.85841425,-5257.85841425,0.0
1,Day 1,300191,CSH_EUR_DB,Cash,0.0,0.0,0.0,0.0,0.0
1,Day 1,300191,DE000CZ450R9,Bond,0.0,-142050.400765,-142050.400765,-142050.400765,0.0
1,Day 1,300191,DE000CZ451J4,Bond,0.0,-42243.164600000004,-42243.164600000004,-42243.164600000004,0.0
1,Day 1,300191,DE000CZ452E3,Bond,0.0,-119772.618095,-119772.618095,-119772.618095,0.0
1,Day 1,300191,FR0014003N51,Bond,0.0,0.0,0.0,0.0,0.0
1,Day 1,300191,FR0128580331,Bond,0.0,-4475.182095,-4475.182095,-4475.182095,0.0
1,Day 1,300191,FR0128584150,Bond,0.0,-5966.18605675,-5966.18605675,-5966.18605675,0.0
1,Day 1,300191,FR0128585413,Bond,0.0,-8910.851564749999,-8910.851564749999,-8910.851564749999,0.0
1,Day 1,300191,FR0128607365,Bond,0.0,-10345.0314785,-10345.0314785,-10345.0314785,0.0
1,Day 1,300191,FR0128614064,Bond,0.0,-9795.39741,-9795.39741,-9795.39741,0.0
1,Day 1,300191,FR0128614254,Bond,0.0,-9333.69744,-9333.69744,-9333.69744,0.0
1,Day 1,300191,FR0128614551,Bond,0.0,-10189.86634775,-10189.86634775,-10189.86634775,0.0
1,Day 1,300191,FR0128615376,Bond,0.0,-12311.762965749998,-12311.762965749998,-12311.762965749998,0.0
1,Day 1,300191,FR0128633858,Bond,0.0,-14696.339558500002,-14696.339558500002,-14696.339558500002,0.0
1,Day 1,300191,FR0128635192,Bond,0.0,-12451.25400525,-12451.25400525,-12451.25400525,0.0
1,Day 1,300191,FR0128635606,Bond,0.0,-6224.54176825,-6224.54176825,-6224.54176825,0.0
1,Day 1,300191,FR0128656842,Bond,0.0,-51144.27391275,-51144.27391275,-51144.27391275,0.0
1,Day 1,300191,FR0128662154,Bond,0.0,-10489.4408385,-10489.4408385,-10489.4408385,0.0
1,Day 1,300191,FR0128666064,Bond,0.0,-15375.974794750002,-15375.974794750002,-15375.974794750002,0.0
1,Day 1,300191,FR0128692607,Bond,0.0,-76280.76088875,-76280.76088875,-76280.76088875,0.0
1,Day 1,300191,FR0128768654,Bond,0.0,-75104.0121145,-75104.0121145,-75104.0121145,0.0
1,Day 1,300191,FR0128787282,Bond,0.0,-18191.851698,-18191.851698,-18191.851698,0.0
1,Day 1,300191,FR0128789924,Bond,0.0,-35424.149848249996,-35424.149848249996,-35424.149848249996,0.0
1,Day 1,300191,FR0128806710,Bond,0.0,-22441.548064,-22441.548064,-22441.548064,0.0
1,Day 1,300191,FR0128813492,Bond,0.0,-27050.6498495,-27050.6498495,-27050.6498495,0.0
1,Day 1,300191,FR0128816198,Bond,0.0,-18425.724135499997,-18425.724135499997,-18425.724135499997,0.0
1,Day 1,300191,FR0128816420,Bond,0.0,-1624.7483886,-1624.7483886,-1624.7483886,0.0
1,Day 1,300191,FR0128867167,Bond,0.0,-22340.720274750005,-22340.720274750005,-22340.720274750005,0.0
1,Day 1,300191,FR0128867399,Bond,0.0,-42502.800741,-42502.800741,-42502.800741,0.0
1,Day 1,300191,FR0128867449,Bond,0.0,-12944.29469325,-12944.29469325,-12944.29469325,0.0
1,Day 1,300191,FR0128902766,Bond,0.0,-24874.93659525,-24874.93659525,-24874.93659525,0.0
1,Day 1,300191,FR0128902923,Bond,0.0,-41912.2717195,-41912.2717195,-41912.2717195,0.0
1,Day 1,300191,FR0128910587,Bond,0.0,-3774.7279224000004,-3774.7279224000004,-3774.7279224000004,0.0
1,Day 1,300191,FR0128913656,Bond,0.0,-48691.841346,-48691.841346,-48691.841346,0.0
1,Day 1,300191,FR0128913979,Bond,0.0,-86682.094429,-86682.094429,-86682.094429,0.0
1,Day 1,300191,FR0128958545,Bond,0.0,-4584.7719414,-4584.7719414,-4584.7719414,0.0
1,Day 1,300191,FR0128963560,Bond,0.0,-16226.064396,-16226.064396,-16226.064396,0.0
1,Day 1,300191,FR0128984541,Bond,0.0,-27744.459201,-27744.459201,-27744.459201,0.0
1,Day 1,300191,FR0128985662,Bond,0.0,-2628.307236,-2628.307236,-2628.307236,0.0
1,Day 1,300191,FR0129012466,Bond,0.0,-19491.363335,-19491.363335,-19491.363335,0.0
1,Day 1,300191,FR0129014306,Bond,0.0,-34019.95480575,-34019.95480575,-34019.95480575,0.0
1,Day 1,300191,FR0129014868,Bond,0.0,-101302.20608575,-101302.20608575,-101302.20608575,0.0
1,Day 1,300191,FR0129025500,Bond,0.0,-9332.658965999999,-9332.658965999999,-9332.658965999999,0.0
1,Day 1,300191,FR0129026011,Bond,0.0,-903.4127004,-903.4127004,-903.4127004,0.0
1,Day 1,300191,FR0129026433,Bond,0.0,-614.0556503999999,-614.0556503999999,-614.0556503999999,0.0
1,Day 1,300191,FR0129026458,Bond,0.0,-9562.981290000002,-9562.981290000002,-9562.981290000002,0.0
1,Day 1,300191,FR0129026656,Bond,0.0,-4800.0,-4800.0,-4800.0,0.0
1,Day 1,300191,FR0129030120,Bond,0.0,-15993.5984,-15993.5984,-15993.5984,0.0
1,Day 1,300191,FR0129030807,Bond,0.0,-6886.886316,-6886.886316,-6886.886316,0.0
1,Day 1,300191,FR0129052264,Bond,0.0,-70183.0055345,-70183.0055345,-70183.0055345,0.0
1,Day 1,300191,FR0129053411,Bond,0.0,-12132.300030000002,-12132.300030000002,-12132.300030000002,0.0
1,Day 1,300191,FR0129053510,Bond,0.0,-4921.0766178,-4921.0766178,-4921.0766178,0.0
