;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;TV_before_stress;LiquidityScore
0;300128;AT0000A04967;AT0000A04967;Bond;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);19668.50148;9.449735924;0.0;0.0;0.0;9.756945318;1784910.874;1638000.0;-1536.1564065859598;-1536.1564065859598;9.449735924;1637897.0131420977;0.270204951;1784910.874;;1625607.76188941;10.0
1;300128;AT0000A0U299;AT0000A0U299;Bond;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);59843.2381;19.9332251;0.0;0.0;0.0;20.64486561;1040623.858;988000.0;-1696.1434457086225;-1696.1434457086225;19.9332251;864481.8509538538;0.157532638;1040623.858;;850912.7033881849;9.0
2;300128;AT0000A0VRQ6;AT0000A0VRQ6;Bond;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);26050.06297;13.73366337;0.0;0.0;0.0;14.21365134;1074380.548;1100000.0;-1286.8033519704363;-1286.8033519704363;13.73366337;947264.6417558987;0.162642823;1074380.548;;936970.2149401353;10.0
3;300128;AT0000A1PEF7;AT0000A1PEF7;Bond;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);43850.69797;30.0887093;0.0;0.0;0.0;31.1078515;312313.9726;600000.0;-687.5415802035855;-687.5415802035855;30.0887093;234005.17588646186;0.047278989;312313.9726;;228504.84324483317;9.0
4;300128;AT0000A269M8;AT0000A269M8;Bond;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);3343.031521;3.770954672;0.0;0.0;0.0;3.862071489;1860268.493;2000000.0;-676.1247904760854;-676.1247904760854;3.770954672;1798389.4218129336;0.281612804;1860268.493;;1792980.423489125;10.0
5;300128;AT0000A2CQD2;AT0000A2CQD2;Bond;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2030);6663.558489;4.771944434;0.0;0.0;0.0;4.893150764;2429721.5;2747000.0;-1106.5117303432407;-1106.5117303432407;4.771944434;2327637.959116802;0.367818241;2429721.5;;2318785.8652740563;10.0
6;300128;AT0000A2EJ08;AT0000A2EJ08;Bond;REPUBLIC OF AUSTRIA (EUR 0.750, 20-Mar-2051);36332.60901;21.81019763;0.0;0.0;0.0;22.56972695;668352.526;1242000.0;-1168.133353639324;-1168.133353639324;21.81019763;544935.5155981586;0.101177131;668352.526;;535590.448769044;10.0
7;300128;AT0000A2HLC4;AT0000A2HLC4;Bond;REPUBLIC OF AUSTRIA (EUR 0.850, 30-Jun-2120);23837.36018;40.51501812;0.0;0.0;0.0;41.66148723;86098.9589;242000.0;-226.26397829655232;-226.26397829655232;40.51501812;57657.05175032581;0.013033908;86098.9589;;55846.93992395339;9.0
8;300128;AT0000A2L583;AT0000A2L583;Bond;ERSTE GROUP BANK AG (EUR 4.250, Perpetual);1339.909592;2.32194473;0.0;0.0;0.0;2.386154938;1978997.253;2000000.0;-429.05926725600966;-429.05926725600966;2.32194473;1858141.8681172498;0.299586306;1978997.253;;1847844.4457031055;5.0
9;300128;AT0000A2NW83;AT0000A2NW83;Bond;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2031);888.5171551;5.737991191;0.0;0.0;0.0;5.893150812;230715.0;270000.0;-125.13234432524226;-125.13234432524226;5.737991191;219077.97828963274;0.034926301;230715.0;;218076.91953503081;10.0
